program,February1st,February2nd,February3rd,February4th,February5th,February6th,February7th,February8th,February9th,February10th,February11th,February12th,February13th,February14th,February15th,February16th,February17th,February18th,February19th,February20th,February21st,February22nd,February23th,February24th,February25th,February26th,February27th,February28th
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (PG),0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Business (UG),0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0
Engineering (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),1,1,0,2,0,0,1,0,0,1,0,2,0,1,0,0,0,0,2,1,0,0,0,1,1,0,1,0
FOSSLA (UG),0,1,0,0,2,0,1,0,0,0,0,1,0,2,3,1,0,2,0,3,0,1,1,1,0,1,1,0
Foundation in Arts,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),2,1,2,1,1,1,2,1,2,0,0,0,1,0,1,3,3,2,1,1,0,0,1,1,1,0,1,0
GBS (PG),2,1,0,0,3,1,1,0,1,1,1,2,0,0,1,4,2,4,7,0,2,2,7,1,1,0,3,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hospitality (UG),0,2,3,2,0,0,1,2,2,3,1,1,2,3,0,2,0,1,2,2,1,0,2,0,2,0,1,2
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0
SEC-General Scholarship,8,1,1,1,1,1,3,4,2,0,3,0,4,3,3,1,3,4,2,0,1,4,1,5,5,2,2,3
SEC-Foundation,1,6,8,5,1,3,2,6,4,4,4,5,5,7,3,4,2,1,4,1,4,4,1,3,8,4,1,5
SEC-Diploma & Foundation,7,5,11,11,10,7,10,11,11,9,8,10,12,8,10,8,10,12,5,4,7,4,5,10,5,14,7,10
SEC-UEC,4,2,1,4,4,3,7,4,9,5,4,6,7,3,5,3,6,4,3,3,4,0,4,4,6,2,4,3
SEC-Open Day/Enrolment Day/Info Day,5,8,6,4,8,10,9,8,4,1,5,4,2,3,1,4,3,3,3,2,0,0,2,2,1,0,3,0
