program,December1st,December2nd,December3rd,December4th,December5th,December6th,December7th,December8th,December9th,December10th,December11th,December12th,December13th,December14th,December15th,December16th,December17th,December18th,December19th,December20th,December21st,December22nd,December23th,December24th,December25th,December26th,December27th,December28th,December29th,December30th,December31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Applied Sciences (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (PG),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Architecture (UG),1,1,1,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business (PG),0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Business (UG),1,3,0,0,4,0,5,0,2,0,0,3,0,4,3,5,0,0,7,0,5,3,2,0,0,1,0,4,4,1,0
Engineering (PG),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),2,2,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FOSSLA (UG),3,5,1,5,1,12,21,14,25,20,21,21,19,19,23,12,26,32,12,19,35,24,28,23,6,1,49,13,20,18,16
Foundation in Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FPS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBS (PG),4,5,8,1,4,1,0,2,5,0,2,2,3,1,7,4,4,5,4,2,4,2,5,3,4,3,4,1,1,11,8
Hospitality (PG),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),0,2,1,1,2,1,1,3,1,0,1,1,0,1,0,1,0,3,1,2,0,2,0,0,1,2,0,0,0,0,0
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Master & PhD Programme,1,0,0,1,2,0,0,1,2,4,0,1,2,2,1,1,0,0,1,0,1,2,1,0,0,0,1,0,0,1,0
SEC-General Scholarship,5,2,3,1,2,1,2,1,0,1,0,2,0,0,1,1,0,2,1,0,2,4,1,1,2,2,3,3,2,0,2
SEC-Foundation,3,2,4,11,6,0,0,1,1,1,4,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SEC-Diploma & Foundation,5,9,7,9,5,7,5,5,1,5,6,12,10,2,5,4,8,2,1,0,3,6,4,1,3,4,3,13,4,0,2
SEC-MARA Scholarship,1,2,3,1,1,3,3,5,3,2,1,3,2,2,1,2,3,0,0,0,4,2,0,4,6,0,2,0,0,2,2
SEC-UEC,0,0,0,0,0,0,0,0,0,0,3,4,3,7,2,4,6,5,1,2,0,0,0,0,0,1,1,1,1,1,4
SEC-Open Day/Enrolment Day/Info Day,2,2,1,1,3,3,1,6,4,3,4,6,3,6,7,3,3,0,3,2,1,2,0,0,0,3,2,1,0,0,2
