program,July1st,July2nd,July3rd,July4th,July5th,July6th,July7th,July8th,July9th,July10th,July11th,July12th,July13th,July14th,July15th,July16th,July17th,July18th,July19th,July20th,July21st,July22nd,July23th,July24th,July25th,July26th,July27th,July28th,July29th,July30th,July31st
Actuarial Science (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actuarial Science (UG),0,1,2,4,4,0,3,2,0,0,0,0,1,0,1,2,0,2,0,1,1,0,0,0,4,0,0,0,1,2,1
Applied Sciences (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Applied Sciences (UG),1,2,1,4,0,1,1,0,0,0,0,0,0,3,1,1,1,0,2,1,3,0,4,2,2,3,1,2,0,0,1
Architecture (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Architecture (UG),0,2,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,1
Business (PG),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Business (UG),0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2,2,3,1,2,7,2,1,4,2,1,0,0,1
Engineering (PG),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering (UG),3,2,2,2,4,3,3,0,0,0,0,0,2,2,2,0,1,1,3,2,1,2,1,1,1,3,1,1,3,1,1
FMHS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMHS (UG) - Nursing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOSSLA (PG),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FOSSLA (UG),5,1,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Foundation in Arts,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Foundation in Science,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
FPS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
FPS (UG),3,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0
GBS (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality (UG),6,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
IASDA (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IASDA (UG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICAD (UG),0,3,4,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (PG),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMUS (UG),2,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,3,2,1,1,2,0,3,0
IT (PG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT (UG),1,0,0,1,0,0,3,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,2,1,1,1,0,1,0,0,1
SEC-General Scholarship,3,1,4,3,4,2,2,2,0,0,0,0,1,0,0,0,0,0,0,3,5,3,4,1,1,2,1,6,2,5,3
SEC-Foundation,10,9,4,13,8,11,12,5,0,0,0,0,5,11,11,7,16,12,10,8,14,16,14,11,13,14,14,15,5,5,9
SEC-Diploma & Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0
SEC-Open Day/Enrolment Day/Info Day,0,0,0,0,0,0,0,0,0,2,0,3,5,3,2,3,3,4,3,2,3,4,2,2,3,5,3,2,1,1,1
